male,age,edu,inc,union,lrscale
0,75,5,2,0,10
0,50,3,2,1,8
0,60,6,10,0,5
1,79,3,5,1,1
0,56,7,10,1,6
1,87,3,3,0,2
0,34,5,7,0,7
1,59,6,10,1,3
0,78,3,1,1,4
0,41,3,3,1,3
1,46,3,6,1,3
1,63,6,10,0,5
1,42,3,9,1,8
1,60,3,2,1,5
0,55,6,9,1,4
1,15,1,2,0,7
0,57,4,3,1,5
1,22,4,5,0,9
1,29,6,10,1,1
0,41,6,8,1,4
1,38,3,2,0,8
0,71,1,1,0,7
1,55,6,6,1,8
0,17,2,4,0,7
0,49,5,6,0,7
0,31,1,6,1,10
1,73,3,5,0,3
1,24,4,2,0,8
1,53,6,10,1,4
0,59,6,10,1,5
0,16,2,8,0,5
0,21,4,1,0,6
0,46,7,10,1,6
1,80,2,2,0,9
1,51,6,5,1,3
1,63,3,3,1,2
0,56,3,4,1,6
0,19,4,8,0,7
1,65,3,2,0,8
0,40,3,10,1,5
0,23,2,10,1,7
1,57,6,6,1,3
0,39,7,9,1,2
1,48,3,5,1,8
0,42,6,9,1,3
0,61,6,6,1,3
1,67,3,2,0,8
1,49,7,10,1,7
0,17,2,2,0,5
1,65,5,10,0,5
0,49,2,5,1,8
1,21,6,1,1,9
0,40,6,9,1,2
1,49,3,4,1,8
0,64,1,6,1,5
1,42,7,9,1,3
1,50,2,1,0,0
1,44,6,9,1,10
1,54,3,8,1,7
0,76,2,2,0,9
0,58,6,6,1,7
1,51,3,4,0,0
1,52,3,8,1,9
1,33,7,9,1,3
0,75,4,4,0,9
0,31,6,6,1,7
1,35,3,9,1,9
0,60,5,7,1,3
0,37,7,7,0,6
0,42,3,7,1,7
1,68,3,6,0,9
1,21,4,2,0,6
1,20,2,2,1,7
0,73,1,7,1,6
1,71,3,4,1,9
0,40,6,7,0,6
1,26,6,6,1,7
0,42,7,9,1,2
1,84,2,5,0,5
0,62,6,9,0,6
0,87,6,2,0,8
1,72,6,4,0,5
0,49,6,4,1,1
0,52,2,8,1,5
0,20,2,3,0,8
1,25,6,8,1,3
0,67,6,3,1,2
0,56,6,7,1,3
0,56,6,1,1,3
1,43,4,8,1,7
1,80,7,3,0,5
0,59,6,8,1,2
1,34,3,7,1,10
1,78,3,1,0,3
1,45,5,10,1,7
1,87,3,5,0,8
1,57,3,7,1,4
1,81,5,3,1,8
0,47,3,9,1,7
0,56,6,8,1,3
1,52,6,9,0,5
1,72,5,1,0,8
1,70,7,7,1,2
0,39,6,5,1,5
0,90,1,1,0,7
1,20,4,10,0,4
1,70,3,2,1,0
0,55,7,10,1,4
1,67,6,7,0,8
0,49,7,5,1,3
0,54,7,10,1,5
1,58,3,8,1,7
0,54,5,7,1,0
1,24,4,3,0,6
1,58,7,10,0,7
0,34,3,5,1,5
0,74,6,8,0,7
1,54,6,10,0,5
0,59,3,10,1,7
1,69,1,7,0,3
1,35,3,10,1,2
1,19,2,9,0,4
0,69,3,4,1,5
1,72,3,4,1,9
1,59,2,6,1,5
1,48,6,10,0,8
0,72,1,2,0,7
