male,age,edu,inc,union,lrscale
1,69,3,2,0,5
1,28,3,6,1,7
0,66,5,4,1,10
0,20,4,1,0,9
1,19,2,5,0,4
1,49,7,7,1,3
0,36,3,7,1,3
1,49,3,5,1,8
1,73,3,3,0,8
1,75,3,6,0,5
1,43,6,8,1,10
0,46,5,5,1,4
0,61,5,5,1,7
0,61,5,7,1,4
1,25,3,4,1,9
0,37,4,4,0,4
1,18,2,2,0,10
0,41,3,3,1,5
0,45,3,9,1,4
1,46,3,5,1,4
0,74,6,6,0,5
1,54,3,8,1,4
0,57,7,10,1,5
0,72,2,1,0,8
0,43,4,7,0,0
1,74,5,3,0,7
1,22,3,1,1,3
1,28,4,1,1,2
0,47,3,5,1,4
0,29,3,1,1,4
1,50,6,7,1,8
0,60,7,10,1,2
0,48,2,4,1,6
1,59,3,1,0,8
0,60,6,1,1,5
1,87,3,2,0,6
1,40,3,9,1,9
0,37,7,8,1,8
1,61,3,7,1,10
0,19,4,1,0,3
0,47,3,10,1,7
1,40,6,8,1,5
1,27,4,1,1,3
1,19,4,1,0,5
1,33,3,4,0,7
1,55,6,9,1,5
1,33,2,7,1,9
0,28,7,7,1,3
1,47,5,7,1,4
0,53,6,10,1,6
0,26,6,5,1,3
1,38,6,10,0,9
1,76,3,2,0,5
0,30,7,9,1,2
0,42,6,6,1,6
1,47,3,10,1,3
0,59,7,10,1,6
1,47,6,7,1,3
0,24,6,1,1,3
0,50,5,4,1,5
1,47,6,8,1,8
0,25,4,5,1,4
0,79,6,1,0,6
1,28,6,2,1,3
1,29,2,1,0,4
0,65,6,10,1,8
0,50,6,4,1,6
1,46,4,9,1,9
1,21,2,2,0,7
1,58,3,7,1,5
0,59,3,7,1,5
0,31,6,3,0,6
1,40,4,10,1,10
0,61,2,4,0,10
1,45,5,10,1,7
1,41,7,10,0,6
1,47,3,7,0,4
0,59,6,3,1,5
0,45,6,10,1,7
1,17,2,10,0,10
0,54,6,6,1,2
1,50,3,6,1,6
1,75,6,6,1,8
1,32,3,3,0,2
0,78,3,1,0,8
0,74,3,7,0,5
0,55,3,6,1,5
0,41,6,10,1,3
1,50,5,10,0,3
1,25,6,1,1,3
0,71,6,3,0,7
1,42,3,4,1,5
1,47,4,10,1,8
1,26,6,3,1,3
1,41,3,6,1,7
0,33,7,9,1,7
1,51,5,5,1,5
1,15,2,7,0,3
1,62,3,3,0,3
0,78,1,4,0,8
1,64,1,4,1,8
1,70,3,1,1,0
0,68,7,10,0,6
0,26,2,3,1,7
1,21,4,4,1,4
1,51,6,9,1,8
1,49,5,4,1,5
0,33,6,5,1,7
1,73,2,5,0,5
1,59,6,5,1,7
1,76,6,5,0,3
0,73,2,3,0,5
1,51,2,10,1,7
1,52,2,10,1,6
0,20,2,1,1,8
1,65,3,4,1,6
1,76,7,8,0,6
0,44,4,10,1,7
1,69,4,2,0,8
0,52,5,8,1,7
0,63,6,8,0,7
1,69,3,6,0,6
0,17,2,4,1,7
0,16,2,10,0,3
0,32,3,4,1,5
0,56,5,4,1,0
0,45,5,8,0,3
1,72,7,5,0,5
1,29,2,3,1,9
1,17,2,10,1,5
0,56,2,1,0,2
1,71,7,4,0,8
1,27,6,2,0,3
0,16,4,10,0,7
1,75,3,2,0,5
1,83,6,3,0,8
1,28,3,5,1,5
1,67,3,4,1,2
1,45,2,6,0,4
1,45,3,6,1,5
0,76,3,2,0,5
1,61,5,5,1,5
1,62,6,9,1,6
0,67,3,5,0,7
0,74,7,7,0,5
0,38,6,4,1,6
1,29,3,4,1,9
0,45,4,10,1,7
